time,delta
1378159200,0
1378160100,-0.0500000000000682
1378161000,-0.0499999999999545
1378161900,-0.0500000000000682
1378162800,-0.0499999999999545
1378163700,-0.0199999999999818
1378164600,-0.0199999999999818
1378165500,-0.0299999999999727
1378166400,-0.0200000000000955
1378167300,-0.0199999999999818
1378168200,-0.0499999999999545
1378169100,-0.0500000000000682
1378170000,-0.0499999999999545
1378170900,-0.0499999999999545
1378171800,-0.0200000000000955
1378172700,-0.0199999999999818
1378173600,-0.0299999999999727
1378174500,-0.0199999999999818
1378175400,-0.0199999999999818
1378176300,-0.0400000000000773
1378177200,-0.0499999999999545
1378178100,-0.0499999999999545
1378179000,-0.0500000000000682
1378179900,-0.0199999999999818
1378180800,-0.0199999999999818
1378181700,-0.0199999999999818
1378182600,-0.0300000000000864
1378183500,-0.0199999999999818
1378184400,-0.0499999999999545
1378185300,-0.0399999999999636
1378186200,-0.0300000000000864
1378187100,-0.00999999999999091
1378188000,0
1378188900,0
1378189800,0.029999999999859
1378190700,0.0800000000001546
1378191600,0.0899999999999181
1378192500,0.110000000000127
1378193400,0.169999999999959
1378194300,0.220000000000027
1378195200,0.289999999999964
1378196100,0.329999999999927
1378197000,0.360000000000127
1378197900,0.389999999999759
1378198800,0.410000000000082
1378199700,0.430000000000064
1378200600,0.420000000000073
1378201500,0.439999999999941
1378202400,0.460000000000036
1378203300,0.5
1378204200,0.509999999999991
1378205100,0.509999999999991
1378206000,0.519999999999868
1378206900,0.529999999999973
1378207800,0.500000000000227
1378208700,0.5
1378209600,0.499999999999886
1378210500,0.509999999999991
1378211400,0.519999999999982
1378212300,0.519999999999982
1378213200,0.510000000000218
1378214100,0.489999999999895
1378215000,0.490000000000009
1378215900,0.460000000000036
1378216800,0.419999999999845
1378217700,0.399999999999977
1378218600,0.380000000000109
1378219500,0.380000000000109
1378220400,0.3599999999999
1378221300,0.339999999999918
1378222200,0.300000000000068
1378223100,0.269999999999982
1378224000,0.230000000000018
1378224900,0.170000000000073
1378225800,0.129999999999768
1378226700,0.0700000000001637
1378227600,-0.00999999999999091
1378228500,0
1378229400,-0.0100000000001046
1378230300,-0.00999999999999091
1378231200,-0.0199999999999818
1378232100,-0.0299999999999727
1378233000,-0.0499999999999545
1378233900,-0.0500000000000682
1378234800,-0.0499999999999545
1378235700,-0.0300000000000864
1378245600,-0.349999999999909
1378246500,-0.0199999999999818
1378247400,-0.0300000000000864
1378248300,-0.0299999999999727
1378249200,-0.0499999999999545
1378250100,-0.0500000000000682
1378251000,-0.0499999999999545
1378251900,-0.0199999999999818
1378252800,-0.0199999999999818
1378253700,-0.0200000000000955
1378254600,-0.0299999999999727
1378255500,-0.0199999999999818
1378256400,-0.0499999999999545
1378257300,-0.0500000000000682
1378258200,-0.0499999999999545
1378259100,-0.0500000000000682
1378260000,-0.0199999999999818
1378260900,-0.0199999999999818
1378261800,-0.0199999999999818
1378262700,-0.0299999999999727
1378263600,-0.0200000000000955
1378264500,-0.0499999999999545
1378265400,-0.0499999999999545
1378266300,-0.0500000000000682
1378267200,-0.0299999999999727
1378268100,-0.129999999999995
1378269000,-0.269999999999982
1378269900,-0.0299999999999727
1378270800,-0.00999999999999091
1378271700,-0.0300000000000864
1378272600,-0.0399999999999636
1378273500,-0.0300000000000864
1378274400,-0.0199999999999818
1378275300,0
1378276200,0.0300000000002001
1378277100,0.0799999999999272
1378278000,0.110000000000127
1378278900,0.129999999999768
1378279800,0.110000000000014
1378280700,0.220000000000027
1378281600,0.259999999999991
1378282500,0.300000000000068
1378283400,0.329999999999927
1378284300,0.380000000000109
1378285200,0.399999999999864
1378286100,0.420000000000073
1378287000,0.440000000000055
1378287900,0.449999999999932
1378288800,0.440000000000055
1378289700,0.460000000000036
1378290600,0.469999999999914
1378291500,0.5
1378292400,0.509999999999991
1378293300,0.519999999999982
1378294200,0.509999999999991
1378295100,0.519999999999982
1378296000,0.500000000000114
1378296900,0.480000000000018
1378297800,0.480000000000018
1378298700,0.489999999999895
1378299600,0.490000000000009
1378300500,0.480000000000018
1378301400,0.480000000000018
1378302300,0.450000000000045
1378303200,0.440000000000055
1378304100,0.39999999999975
1378305000,0.370000000000118
1378305900,0.350000000000136
1378306800,0.349999999999795
1378307700,0.329999999999927
1378308600,0.2800000000002
1378309500,0.259999999999991
1378310400,0.230000000000018
1378311300,0.160000000000082
1378312200,0.119999999999777
1378313100,0.0600000000001728
1378314000,-0.00999999999999091
1378314900,-1.13686837721616e-13
1378315800,-0.00999999999999091
1378316700,-0.0199999999999818
1378317600,-0.0199999999999818
1378318500,-0.0299999999999727
1378319400,-0.0300000000000864
1378320300,-0.0599999999999454
1378321200,-0.0499999999999545
1378322100,-0.0500000000000682
1378323000,-0.0299999999999727
1378323900,-0.0199999999999818
1378332000,-0.290000000000077
1378332900,-0.0299999999999727
1378333800,-0.0199999999999818
1378334700,-0.0199999999999818
1378335600,-0.0499999999999545
1378336500,-0.0500000000000682
1378337400,-0.0499999999999545
1378338300,-0.0300000000000864
1378339200,-0.0199999999999818
1378340100,-0.0299999999999727
1378341000,-0.0199999999999818
1378341900,-0.0199999999999818
1378342800,-0.0500000000000682
1378343700,-0.0499999999999545
1378344600,-0.0499999999999545
1378345500,-0.0500000000000682
1378346400,-0.0299999999999727
1378347300,-0.0199999999999818
1378348200,-0.0199999999999818
1378349100,-0.0200000000000955
1378350000,-0.0299999999999727
1378350900,-0.0399999999999636
1378351800,-0.0500000000000682
1378352700,-0.0499999999999545
1378353600,-0.0499999999999545
1378354500,-0.0300000000000864
1378355400,-0.0199999999999818
1378356300,-0.0199999999999818
1378357200,-0.0199999999999818
1378358100,-0.00999999999999091
1378359000,-0.0300000000000864
1378359900,-0.0199999999999818
1378360800,-0.00999999999999091
1378361700,0.0199999999998681
1378362600,0.0300000000002001
1378363500,0.0799999999999272
1378364400,0.110000000000127
1378365300,0.139999999999873
1378366200,0.180000000000064
1378367100,0.219999999999914
1378368000,0.259999999999991
1378368900,0.2800000000002
1378369800,0.329999999999814
1378370700,0.370000000000118
1378371600,0.399999999999864
1378372500,0.420000000000073
1378373400,0.440000000000055
1378374300,0.450000000000045
1378375200,0.459999999999923
1378376100,0.450000000000045
1378377000,0.460000000000036
1378377900,0.489999999999895
1378378800,0.509999999999991
1378379700,0.509999999999991
1378380600,0.519999999999982
1378381500,0.519999999999982
1378382400,0.499999999999886
1378383300,0.490000000000236
1378384200,0.480000000000018
1378385100,0.469999999999914
1378386000,0.490000000000009
1378386900,0.480000000000018
1378387800,0.460000000000036
1378388700,0.439999999999827
1378389600,0.420000000000073
1378390500,0.379999999999995
1378391400,0.360000000000127
1378392300,0.339999999999918
1378393200,0.279999999999859
1378394100,0.300000000000182
1378395000,0.269999999999982
1378395900,0.240000000000009
1378396800,0.200000000000045
1378397700,0.159999999999854
1378398600,0.100000000000023
1378399500,0.0399999999999636
1378400400,-0.00999999999999091
1378401300,0
1378402200,-0.00999999999987722
1378403100,-0.0199999999999818
1378404000,-0.0199999999999818
1378404900,-0.0299999999999727
1378405800,-0.0500000000000682
1378406700,-0.0499999999999545
1378407600,-0.0499999999999545
1378408500,-0.0500000000000682
1378409400,-0.0199999999999818
1378410300,-0.0199999999999818
1378411200,-0.0299999999999727
1378418400,-0.650000000000091
1378419300,-0.0799999999999272
1378420200,-0.0900000000000318
1378421100,-0.149999999999977
1378422000,-0.180000000000064
1378422900,-0.0999999999999091
1378423800,-0.110000000000014
1378424700,-0.0800000000000409
1378425600,-0.0800000000000409
1378426500,-0.0299999999999727
1378427400,-0.0399999999999636
1378428300,-0.0299999999999727
1378429200,-0.0400000000000773
1378430100,-0.0599999999999454
1378431000,-0.0600000000000591
1378431900,-0.0499999999999545
1378432800,-0.0399999999999636
1378433700,-0.0300000000000864
1378434600,-0.0299999999999727
1378435500,-0.0299999999999727
1378436400,-0.0299999999999727
1378437300,-0.0500000000000682
1378438200,-0.0599999999999454
1378439100,-0.0600000000000591
1378440000,-0.0499999999999545
1378440900,-0.149999999999977
1378441800,-0.279999999999973
1378442700,-0.0300000000000864
1378443600,-0.0199999999999818
1378444500,-0.0199999999999818
1378445400,-0.0400000000000773
1378446300,-0.0499999999999545
1378447200,-0.0400000000000773
1378448100,-0.0299999999999727
1378449000,-1.13686837721616e-13
1378449900,0.0500000000001819
1378450800,0.1099999999999
1378451700,0.130000000000109
1378452600,0.169999999999959
1378453500,0.200000000000045
1378454400,0.240000000000009
1378455300,0.259999999999877
